,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
21518,US Airways,1,US Airways customer review,8th April 2015,False,Portland to Philadelphia Feb 22 2015 flight #4437 then #799 to Orlando. Returned March 6th flight #1757 Orlando to Philadelphia then #4437 to Portland. A terrible experience. When booking flights it asks if you are travelling with children which I was yet not one of the three adults that were travelling were able to sit with the child. When we land in Philadelphia we go directly to the gate so that there will be no worries of us missing our flight. The time comes when we should be starting to load the plane and my husband goes and asks when will be boarding and they inform him the gate has changed which they had not announced. Us along with most of the people sitting around us run to the new gate. When we arrive they there is a delay because they have to bring in a new plane once the new plane arrives they have to clean it after an hour they tell us there are problems with the plane. We wait again and they announce the pilot has run out of time and they need to bring in another. Our 6 pm flight ends up leaving at 11.30 pm. When they do start to board the plane the lady starts yelling at everyone to hurry up like we were the reason for the plane being so late. The return flight comes around and I am thinking surely this time things will be better - wrong. We look at our tickets to see if by any chance we will have someone to sit with my son on any of the flights No. Then I notice that on one of the flights I do not have a seat number. I go to the counter and ask what does this mean and I am told I have to check at that airport when I arrive. I ask does this mean I will not be on the flights? Oh no you will be. I get to that airport and am told the flight is full I will have to wait for another flight. I said no I am travelling with three other people my husband child and elderly mother - I then wait for hours in another airport. In the end I did get on the plane. Will not fly US Airways again if I can help it.,,,Economy Class,,,3.0,2.0,0.0,,1.0,,1.0,no
21519,US Airways,n,US Airways customer review,6th April 2015,False,I had a 4pm flight scheduled from Boston Phoenix last Thursday that never took off until 8 because they couldn't close the passenger door. We wasted money waiting around for our delayed flight and the only compensation we had was one free alcoholic drink on the way over. Then on our return flight they couldn't find my fathers information and would not let him on the flight. He had to pay an additional 500 dollars to board and now has to wait to be reimbursed. Mark my words I will never fly this airline again.,,,Economy Class,,,1.0,1.0,1.0,,1.0,,1.0,no
21520,US Airways,6,US Airways customer review,6th April 2015,False,Reasonable experience on recent flight from Philiadelphia to Miami. OneWorld Emerald member so used the lounge which was actually quite good. Flights on time aircraft clean and crew attentive - inflight meal ok. Cannot believe that US airways does not have inflight entertainment come on it's prehistoric! My other slight annoyance was that when I enquired if I could catch an earlier flight (checked in very early) I was told that would be $75 - my flight was full but the earlier one was less full...just appears to be cheap especially as my luggage caught the earlier flight (and I thought airlines tried to avoid unaccompanied luggage!).,,,First Class,,,4.0,4.0,3.0,,1.0,,3.0,no
21521,US Airways,n,US Airways customer review,4th April 2015,False,Flight 503 March 29 2015. Traveling from FLL-PHX-Calgary. Flight attendants hid from view most of the trip(s) and tried to change seats online and was asked for a $78 fee. Nuts. Same seat area just a different and vacant position. Could not even sit with my spouse. Will never fly with this airline again.,,,Economy Class,,,3.0,2.0,1.0,,1.0,,3.0,no
21522,US Airways,n,US Airways customer review,4th April 2015,False,No food for my children on flight from LA to Philly. Ran out before they got to us could have at least served the young kids first if they're not going carry enough for everyone.I'll drive to Newark or Baltimore before I fly US Airways again.,,,Economy Class,,,2.0,1.0,1.0,,2.0,,1.0,no
21523,US Airways,n,US Airways customer review,29th March 2015,False,I had 3 flights yesterday. 2 went down for mechanical issues causing the other to become over booked. I drive all the way back to Austin TX from San Antonio to catch the first flight and that's delayed. I told them to put me on the flight that's boarding now and I'm on a plane that's not moving cause of guess what mechanical issues! So much for me making my brothers wedding. Never again.,,,Economy Class,,,4.0,2.0,0.0,,0.0,,1.0,no
21524,US Airways,n,US Airways customer review,24th March 2015,False,"It seems that US Airways doesn't realize that ""flight"" is not the entire customer experience. The experience begins well before the flight and ends well after the flight. We flew to SFO from PHX this week. We were issued boarding passes and noticed we were in Zone 5. Well since the seats are reserved that didn't seem to be a problem until during boarding a gate agent came to my wife and told her that they were checking her bag ""because there wasn't any bin space left"" and we could go to the carousel at SFO to pick it up. My wife's bag is not large but it does have rollers and it seemed they were ""confiscating"" every bag in Zone 5 with rollers. We boarded the aircraft and discovered there was loads of bin space. I approached the First Class Cabin attendant and said I'd like to retrieve my wife's bag he said ""no it's already gone."" I asked why they were telling passengers there wasn't any bin space when there clearly was plenty of space. He offered a ""well they don't actually check it's just that at about this time in boarding there isn't much space left."" On arrival in SFO we thought well at least as the last bag loaded it'll be the first one off the carousel again we were mistaken. At least 50 bags came off before our bag and not a quick 50 bags. We discovered on our return flight (we returned from San Jose Airport) the same protocol was used by the gate attendant. Our bag was the last carry on allowed all the others were collected and checked. We realized at that point since there was plenty of bin space again that this is a ""convenience"" move by US Air their convenience they don't risk a late ""push back"" if people are seated faster. Of course ""their convenience"" translates into ""our inconvenience."" Why not board 5 minutes earlier? The plane was there all arriving passengers had been off for at least 30 minutes prior to our boarding. Moral of the story - my wife said ""I don't care how much more it is to fly Southwest we're never flying US Airways again.""",,,Economy Class,,,3.0,1.0,0.0,,0.0,,4.0,no
21525,US Airways,2,US Airways customer review,24th March 2015,False,Never again. My wife and I bought seats together for our round trip from Baltimore to Phoenix. Our seats were not honored both ways. Staff were not helpful. On the return trip the gate attendant was eating a sandwich while helping customers. Every single US Airways flight at the terminal was oversold. If it wasn't for volunteers we would have had to wait 8 hours for the next flight home. The plane was dirty and dusty. They don't even provide any free snacks. You had to pay $4 for a tiny bag of peanuts. Bottom line is if you want to sit with strangers possibly not make your flight overpay for snacks and sit on a dirty plane this is the airline for you.,,,Economy Class,,,2.0,2.0,1.0,,1.0,,2.0,no
21526,US Airways,3,US Airways customer review,19th March 2015,False,"I am extremely dissatisfied in US Airways customer service. Our flight to CLT from BOS was delayed due to not having a flight crew and CLT was not allowing any flights to land so we were assured that our connecting flight to MBJ would be made. When we finally got to CLT the flight attendant informed us that the flights were ""on time"" meaning their original time as we were in the air heading to CLT so we were not able to make our connecting flight. He was not able to give us any information (which is ridiculous) and we were promised that there would be US Airways staff at the gate. Of course this was a lie we had to wait in a 3 hour line told there were no other flights to our all inclusive resort told to get a hotel that the airline did not pay for we were in line for standby only once we got to the airport at 6 am. The kiosk assistant tried to split the 3 female travelers up heading to a foreign country after we had each paid 870$ to fly together and then found there were 3 seats on the next flight which demonstrates her incompetence. Our luggage was not available to us.",,,Economy Class,,,4.0,1.0,4.0,,1.0,,1.0,no
21527,US Airways,1,US Airways customer review,19th March 2015,False,"Traveled from Omaha to Honolulu with 4 connecting flights total. We had a large family with 7 children. On each and every flight children were put in different rows from parents. We were able to switch with other passengers but with little help from staff. One of my daughters was traveling with an eight year old and a three year old. The children were placed in different rows and seats on a 7 hour flight and told there was ""nothing they could do."" Another daughter of mine had an infant and was twice placed in an exit row being told A) They cannot sit there B) You will have to find someone to switch with. (No fault of their own when they assigned the seats). My daughter was also told on our third flight that they could not gate check the baby's stroller. For what reason? No idea. We travel often and understand there are occasional mishaps. Unfortunately this pattern was consistent throughout our trip. We are hoping not to have to travel US or American again.",,,Economy Class,,,2.0,2.0,3.0,,2.0,,1.0,no
21528,US Airways,n,US Airways customer review,19th March 2015,False,Took a flight with US Airways from JFK to Asheville with a change of plane in Charlotte. Our flight left JFK one hour late the Captain said he was waiting for paper work to be signed. We therefore missed our flight to Asheville the US Airways staff at Charlotte were very rude and could not care less. I had to beg to use a phone to call my cousin who was picking us up in Asheville to let her know what had happened. The agents at Charlotte said there were no seats left on any flights leaving for Asheville that day or the next I asked what should I do they said not our problem and shrugged their shoulders. I went to the desk and asked for a refund for the Charlotte to Asheville part of the trip and they cancelled my return flight as well.,,,Economy Class,,,3.0,1.0,2.0,,1.0,,1.0,no
21529,US Airways,2,US Airways customer review,9th March 2015,False,We recently travelled via US Airways to St. Lucia Virgin Islands. Our return flight home was routed through Charlotte N.C. Here we were scheduled for a 3 hour layover plenty of time to get through Customs and Immigration and re-check our baggage for our final destination. However the plane was one hour late in boarding in St. Lucia. Upon our arrival in Charlotte we were told there was no gate open for parking at the airport so we waited on the tarmac for a half hour or so. Then we were told there was no ground crew further delaying our de-planing. Once at the gate we were told that Customs was backed up and we were made to wait for another half hour on the plane. At this point we had 1 hour left to get through Customs and Immigration re-check our baggage and run to our gate actually only 45 minutes as the plane cannot be boarded for the last 15 minutes before take- off. My husband had TSA pre-check on his ticket however I did not. I had to go through a very long security line. My husband went to the gate to notify our plane that I was on my way - hurrying. Just as I finally ran to the gate (just at the 15 minute before flight mark) the flight attendants closed the door to the gate and would not allow me to board. I begged as there was still 15 minutes until take off they would not budge. We went to the ticket counter and were told that it was the last flight out and that there were no flights available the next day. So with no way to get home we rented a car drove all night and arrived back home 8 hours later without our baggage. We were met with rudeness and a complete lack of sympathy from customer service when dealing with the airline. By the way our flight from St. Lucia was to have meals available for purchase however by the time the attendants reach our seat in the 19th row there was no food left. We had not eaten all day.,,,Economy Class,,,1.0,2.0,1.0,,1.0,,1.0,no
21530,US-Bangla Airlines,7,"""Price was a bit high""",10th February 2020,True,  Dhaka to Bangkok. Good service though it made delay while departing. Very good food. Staff were good. Price was a bit high when I purchased. No entertainment screen on board.,Boeing 737-800,Solo Leisure,Economy Class,Dhaka to Bangkok,January 2020,4.0,4.0,4.0,4.0,,,4.0,yes
21531,US-Bangla Airlines,7,"""Staff were good""",19th January 2020,True,  Dhaka to Bangkok. Good service though it made delay while departing.. Very good food. Staff were good. Price was a bit high when I purchased. No entertainment screen on board.,,Solo Leisure,Economy Class,Dhaka to Bangkok,January 2020,4.0,5.0,5.0,4.0,,,4.0,yes
21532,US-Bangla Airlines,7,"""my experience was satisfactory""",5th March 2018,True," Cox's Bazar to Dhaka with US-Bangla Airlines. The check-in process was smooth. The plane arrived exactly on time. But had to refuel for 15mins. We were on a full family trip. The staff was friendly and helpful. The seats were a bit tight and narrow. Food was average.  Landing was smooth. We got our baggage in time. I don't know about others, but my experience was satisfactory.",Boeing 737-800,Family Leisure,Economy Class,Cox's Bazar to Dhaka,February 2018,3.0,5.0,4.0,5.0,,,5.0,yes
21533,US-Bangla Airlines,1,"""very rude, very unprofessional""",18th January 2018,True,"  Sylhet to Dhaka. Absolutely awful probably the worst airline, very rude, very unprofessional, don’t know how they can be so rude towards customers. I was at Sylhet  at 11am and had a domestic flight at 2:05pm, we had to wait 5 hours. We ended up missing our international flight and they put us in a very nasty hotel.",,Family Leisure,Economy Class,Sylhet to Dhaka,January 2018,2.0,1.0,,1.0,,,2.0,no
21534,US-Bangla Airlines,1,"""unprofessionalism is really disgraceful""",19th November 2017,True,  Dhaka to Jessore. It was really a bad experience when the plane started to take off and after a while there was problem with the flight’s fan or whatever there were some technical issues and then they stopped on emergency basis and later on after a while they started with the same plane though they told us to shift in a new one. After going a little further the plane again stopped at their runway due to the same problem. Then they shifted us to a new plane. The matter here is their unprofessionalism which is really disgraceful. I really would never like to fly with them again.,,Family Leisure,Economy Class,Dhaka to Jessore,November 2017,1.0,1.0,,1.0,,,1.0,no
21535,US-Bangla Airlines,1,"""friendly and smiley flight attendants""",23rd January 2017,False,"  Dhaka to Jessore. I find the name of this private airline in Bangladesh a bit funny. Other than that no complaints. Arrived at the domestic terminal in Dhaka 7 minutes before the scheduled morning departure due to being severely delayed due to road traffic. The check-in desk completed all formalities, rushed us through security, had a limo ready for us to escort me and my partner to the aircraft at the remote stand. The flight left after our boarding and exactly on time. I have never experienced this kind of dedication and professionalism with an airline. The flight to Jessore lasted 25 minutes onboard a clean and attractive Dash-8 Q400 and we were served a sandwich, cake and a water bottle by friendly and smiley flight attendants. The return flight to Dhaka a couple of days later was just as good but we made sure we arrived promptly for check-in this time. We were served a mini burger, cake and water bottle.",Dash-8 Q400,Solo Leisure,Economy Class,Dhaka to Jessore,January 2017,5.0,5.0,5.0,5.0,,,5.0,yes
21536,Utair Aviation,1,"""no record of the flight""",5th June 2017,False,"  Moscow to Dushanbe. I had booked on the 7pm flight. When I arrived to the airport there was no record of the flight existing. The UTAir staff weren't helpful, telling me to go to another counter which wasn't open yet. Eventually they told me ""they merged my flight into another flight with a bigger plane"" (which was also false, as the aircraft types were meant to be the same). The next flight was 10 or 10:30pm from memory, while I was there already at 5pm. Luckily my family's home was near the airport. Seems like many others were forced to wait. No compensation or anything was offered, neither was an apology. I did not receive any email informing me of the my flight's cancellation. Yes the price was good, and they offered some basic food, as well as beverages. However, they really should have notified passengers about the cancellation.",,Solo Leisure,Economy Class,Moscow to Dushanbe,May 2017,3.0,3.0,2.0,1.0,,,4.0,no
21537,Utair Aviation,3,"""cabin staff act like statues""",7th May 2017,False, Moscow Vnukovo to St Petersburg. Utair is the worst airline ever. They use 1 small bus even it's already full. Cabin storage full. Cabin staff act like statues. This is my first and last time using this airline.,,Solo Leisure,Economy Class,Moscow Vnukovo to St Petersburg,May 2017,3.0,2.0,,4.0,,,3.0,no
21538,Utair Aviation,3,"""overall disappointing experience""",9th February 2017,False,"  Usinsk to Vilnius with Utair Aviation. Departure on time is about the only thing that is ok with this airline. Comfort onboard is non existant since there is no leg room whatsoever. Catering has been abolished and they only offer a glass of water for a 2.5 hrs flight, mind you this is not a low cost airline. Staff never showed up after the FA buzz button was activated by my neighbor. Overall disappointing experience.",Boeing 737-500,Business,Economy Class,Usinsk to Vilnius ,February 2017,1.0,1.0,1.0,3.0,1.0,,1.0,no
21539,Utair Aviation,8,Utair Aviation customer review,8th June 2014,False,I returned this week from Tyumen to Munich. Another B-735 this time with vintage business cabin and seats. As I was alone in the section I missed the European-style seats that would have allowed me to completely lie down instead of sitting with a 135° recline! Crew were smiling and helping with more polyglot aptitudes than during my preceding flight. Excellent tasty lunch with Sardinian (I checked) red wine. Take-off and landing right on time. I shall not hesitate to fly with UTair again.,,,Business Class,,,0.0,0.0,0.0,,0.0,,0.0,yes
21540,Utair Aviation,8,Utair Aviation customer review,2nd June 2014,False,Flew last week from Munich to Tyunmen (TJM / Siberia). B-735 with European-style business cabin (middle seat free). Smooth check-in; my coat was taken by a smiling attendant but no help to put my 8-kg luggage in the locker. No entertainment during the 5 1/2 hours journey (red-eye) but more than decent meal with appetisers and good (Chilean?) wine. I hope that my return flight in two days will be at least as peaceful although the linguistic capacities of the crew should be improved.,,,Business Class,,,4.0,3.0,4.0,,1.0,,3.0,yes
21541,Utair Aviation,9,Utair Aviation customer review,19th August 2013,False,ODS-IEV on a new ATR having small screens for the safe announcements and you can see some comics during the 1 hour 15 minutes flight. Flight was full but service was ok - they offered refreshment. Staff were very friendly and we were on time. Overall very nice experience.,,,Economy Class,,,,,,,,,4.0,yes
21542,Utair Aviation,8,Utair Aviation customer review,29th November 2012,False,Vnukovo-Irkutsk. An eventful and enjoyable flight. Everything went smoothly. Vnukovo is the closest airport to the city centre and it has also a convenient train connection (the train departs from the Kievsky train station). This helps to avoid the usual heavy traffic of Moscow. UTair uses a new terminal A which is quite handy. It is likely that UTair is the only airline which uses a wide-body B767 on this route and the plane seems to be a relatively new and well-maintained one. Friendly flight attendants the flight was on-time onboard catering is not superb but it was OK. Would fly them again.,,,Economy Class,,,,,,,,,4.0,yes
21543,Utair Aviation,6,Utair Aviation customer review,7th August 2012,False,I had two short hops between IEV and DOK. Planes brand new ATR. Seat pitch is so so no recline. Overall comfort level was ok. They served a snack which looked uninspiring so I skipped it. The free bar service only consisted of soft drinks. Flights out and back were on time. Considering very reasonable ticket prices will use again for flights up to 2 hours long.,,,Economy Class,,,,,,,,,4.0,yes
21544,Utair Aviation,5,Utair Aviation customer review,11th October 2011,False,Moscow to St Petersburg. Flight was OK food was better than MANY airlines for flights that short. check in for the flight was awfully organized. Several registration points were shared between a number of UTAir flights but obviously weren't enough as there were crowds of passengers. The personnel were slow: I spent about 30 minutes in line. The business class point was empty but the lady who worked there refused to register anyone else even late passengers and just kept reading something. It was not before people had started calling for the representative realizing they were being late for boarding that the situation improved more or less. I arrived 3 hours before the flight and finally managed to register only 10 minutes before the registration was closed.,,,Economy Class,,,,,,,,,1.0,no
21545,Utair Aviation,9,Utair Aviation customer review,22nd December 2010,False,Tu154 Moscow- St Petersburg. Creature comforts not up to modern aircraft standards but superb real experience. Food quite good and service good. Do it before the Tu154s become a thing of the past!,,,Economy Class,,,,,,,,,4.0,yes
21546,Uzbekistan Airways,4,"""Extremely rude cabin supervisor""",15th July 2023,False, Extremely rude cabin supervisor. I explained her that was pregnant and and needed cabin crew assistance to stow my hand luggage into overhead stowage. To what she replied with extremely aggressive body language “my male cabin crew are not your concierge boys”. I fly very often and it is scary to observe (as I am ex-cabin crew) how often cabin crew do not follow safety rules. It is scary and unpleasant to fly with them always.,Boeing 787,Solo Leisure,Economy Class,Tashkent to Dubai,July 2023,3.0,1.0,3.0,3.0,3.0,,3.0,no
21547,Uzbekistan Airways,8,"""Exceeded my expectations""",4th June 2023,True,  Overall everything went well on the 3.25 hour flight to Dubai. A large meal was presented. The small entertainment screen however did not work. But flight was uneventful and arrived on time. Exceeded my expectations,A330,Solo Leisure,Economy Class,Tashkent to Dubai,June 2023,4.0,4.0,5.0,4.0,1.0,,4.0,yes
21548,Uzbekistan Airways,1,"""Absolutely brilliant service""",4th June 2023,True,"  Andrey and his crew was fantastic. Absolutely brilliant service, they did it effortlessly and effectively. I would recommend family and friends. The toilets were kept clean. The only thing I would say there should be tv on long flights. That the staff can do nothing about.",A321,Family Leisure,Economy Class,London to Tashkent ,May 2023,3.0,5.0,5.0,5.0,1.0,1.0,5.0,yes
21549,Uzbekistan Airways,6,"""a wonderful journey""",16th January 2023,False,"  I experienced a wonderful journey with Uzbekistan Airways. My flight is from Kuala Lumpur to Istanbul and we transit at Tashkent airport for 9 hours. We can only be able to enter a business lounge 3 hours before our flight, so we just sat around the airport, performed our prayers as a muslim, and they have comfortable praying areas at the airport. The business lounge check in was fast and excellent.",,Business,Business Class,Kuala Lumpur to Istanbul via Tashkent,December 2022,4.0,4.0,3.0,3.0,,,5.0,yes
21550,Uzbekistan Airways,2,"""did not generate any reservation number""",24th August 2022,False,"  My problem begins with my reservation. I am planning to go to Uzbekistan with my family in Sept. 2022. I booked my tickets on line with Uzbekistan Air on their own website and paid in full via Visa card. The UZ Air system did not generate any reservation number. There is no active phone listing for the airline in USA. I tried to call Tashkent office to confirm my booking but none picks up the phone there. I tried to contact Uzbekistan Consulate in NYC, same thing. Phone rings for more than 20 minutes, wait music on but can not speak to anyone. Extremely disappointed with there customer (no) service. No one has contacted my via email/phone. What can one do in this situation. Who to complain. They have my money Can anyone help.",,Family Leisure,Economy Class,New York to Tashkent,August 2022,,,,,,,1.0,no
21551,Uzbekistan Airways,1,"""Avoid using this horrible airline""",27th June 2022,True,  Avoid this airline. Regular delays. Soviet style terrible service. So unprofessional! Too bad that this is the only one national airline of Uzbekistan. Avoid using this horrible airline at all cost!,,Couple Leisure,Economy Class,Fergana to Tashkent,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
21552,Uzbekistan Airways,1,"""Safety was not a priority for cabin crew on this flight""",7th November 2021,True," Very disappointed with Uzbekistan Airways service, from boarding until landing in Tashkent. Booked flight with my kids from DXB-TAS on the 7th of November. It started at the airport in DXB, where I requested to get seats in the forward cabin, as it is challenging with small kids to move with luggage all the way to the end of the cabin. The ground staff asked the supervisor if he could offer us forward cabin seats, he refused. He was rude not only with me but with the poor ground staff who was trying to tell him the correct procedure. I have flown many times with Uzbekistan Airways and I have noticed that he has been super rude with passengers and staff at all times (in Dubai and Sharjah). When I came onboard, surprisingly I noticed that there were so many empty seats in the forward cabin! So why did he refuse a mother with 2 small kids to offer a comfort? I assume he is backed up by someone, because this kind of unacceptable attitude for so many years and nobody takes any action! Inflight: - Safety was not a priority for cabin crew on this flight, for take off some windows were dimmed, some were bright - I had two obese passengers sitting through the aisle (35E,F) for take off with their seatbelts were not fastened. Grooming of the crew was extremely poor, especially 2 crew who were seated in L3/R3 door. Male crew who worked from the AFT was not interested to serve us and other passengers, he spoke to us as if we were at the military and he was the general with us, soldiers. When he was serving lunch, somebody asked him for a glass of water, he said that he only has white wine on top of his cart. When I asked him what chicken was served with, he had difficulty in answering. He saw me struggling during disembarkation with kids and my luggage, he didn't even offer to assist us to disembark the aircraft - Not to mention that lavatories were dirty throughout the flight. On this flight the crew didn't smile and welcome guests, they all gave impression that they were forced to come and do this flight, except one who was super positive and welcoming from boarding. During the flight she came and checked on us if we needed anything. Sadly, she was the only crew who worked and valued her job. Don't fly Uzbekistan Airways, unless you really don't have any option to choose from.",,Family Leisure,Economy Class,Dubai to Tashkent,November 2021,2.0,1.0,1.0,1.0,1.0,,4.0,no
21553,Uzbekistan Airways,7,"""it proved to be a fine experience""",19th December 2019,True," I flew from KL to Tashkent economy class, 7.5 hours each way, departing late November 2019 and returning mid December 2019. I had some apprehension about the flight but it proved to be a fine experience. The well experienced 767s were smooth and comfortable and on the first flight had a rudimentary IFE system which had its quirks that nearly resulted in a finger tip blister! (On the return flight on another 767 there was no seat back screen but instead had roof mounted screens that were quite useless). The cabin crew were friendly and the meal service was very adequate and I certainly wasn't hungry afterwards. Perhaps because of the age of the aircraft I felt that there was more room as they had a 2-3-2 seating configuration and on both flights there were many unused seats and even complete center rows of 3 seats left vacant for sleepers had I wanted to. All in all a good experience with Uzbekistan Airways.",Boeing 767,Solo Leisure,Economy Class,Kuala Lumpur to Tashkent ,December 2019,5.0,4.0,4.0,4.0,3.0,,4.0,yes
21554,Uzbekistan Airways,7,"""pleasantly surprised""",21st November 2019,True," Tashkent to London Heathrow. I was pleasantly surprised by Uzbekistan Airways for this recent flight. Boarding was smooth and prompt (probably helps the flight was only half full), we pushed back near enough bang on time and from there had a very efficient flight to London, landing circa 35 minutes early. As mentioned the flight was only half full, it regardless there was plenty of legroom, over head lockers are very large, the whole cabin felt spacious. The only problem was the temperature, the plane felt like an oven for the entire journey. The in flight entertainment, whilst not particularly extensive, had enough to keep you entertained with a decent selection. The food and drink offerings were the only real negative. As a nation famed for its food I think Uzbekistan Airways can manage more than plain boiled white rice and a fried chicken breast, couple that with no beer or sparkling water available onboard led to the only real disappointment.",Boeing 787-8,Solo Leisure,Economy Class,Tashkent to London Heathrow,November 2019,5.0,5.0,2.0,4.0,4.0,,4.0,yes
21555,Uzbekistan Airways,1,"""not been worth the flight""",17th November 2019,True,"  Paris to Delhi via Tashkent. Ground staff at Paris didnt know well to operate the systems to generate boarding pass resulting into start of boarding procedures late by an hour, no response or information to passengers resulting into chaos. Inflight staff - rude behaviour, gave water after 20 mins of asking and later denied for water when asked for 3rd time. Veg food not available and food available only as per counting, if extra food asked for, denied. Even fruits were denied stating that only the packet of nonveg available if required could be given and separately fruits cant be given. Pillow and blanket was denied stating that you have neck rest which works as pillow so not needed and you have jacket which could be warm enough so blanket is not required. Alcohol (only red / white wine available) which was denied when asked for 2nd time stating that the flight had only 1 bottle (of white wine) which is finished so cant be served repeated later on however 1 glass of red wine was offered stating that only 1 extra glass can be given. Peanuts denied 2nd time stating that per passenger gets only 1 packed and that's finished. I was first time international traveller I was not aware how to order veg food for flight online due to which I asked for Support for getting veg food for connecting flight which was replied that it's not their job to guide how to order veg food, their job is just to serve what ever is ordered. The staff was talking to passengers with rude tone with the ones who tried changing seat as the flight was empty. At Tashkent Airport, the transfers staff in charge of issuing boarding pass didnt know how to process the boarding pass taking about an hour for completing the process resulting into delay in flight. The inflight staff in connecting flight from Tashkent to Delhi was decent, they even offered alternative as fruits as veg food was not ordered. Overall the behaviour and experience has not been worth the flight.",,Solo Leisure,Economy Class,Paris to Delhi via Tashkent,November 2019,2.0,1.0,1.0,1.0,2.0,1.0,1.0,no
21556,Uzbekistan Airways,6,"""Disorganised boarding""",30th September 2019,True,"  Tashkent to Istanbul. Disorganised boarding. Passengers were not called by rows. It was a free for all with a long queue. Good cabin service. Limited options for entertainment. Only 3 or 4 films available. No music, etc.",,Solo Leisure,Economy Class,Tashkent to Istanbul,September 2019,4.0,4.0,4.0,3.0,2.0,,4.0,no
21557,Uzbekistan Airways,3,"""Antiquated, surly govt owned airline""",16th August 2019,True,"  Kuala Lumpur to Tashkent. It is like going back in time, about 30 years back. Our departure from Kuala Lumpur was 1 hour 50 late, dep Tashkent on time. I cannot believe this airline does not serve beer, only white or red wine is only alcohol available, they also have no diet beverages, the very limited choice dies not even come with ice so fruit juices are warm . On the return trip we bought cold beer at the airport to drink Food on both flights was terrible, very limited choices, served by surly unhelpful staff. The good thing was the generous recline of the seats Entertainment was a joke, flight out had screens in the roof, so 80's, return had seat back screens which were a waste of space, latest movie in english fir over 10 year olds was 7 years old. I watched my tablet on both flights. Blankets and pillows ran out after 10 people on the early evening outbound flight, return had enough for a quarter of the plane and very begrudgingly given out. Antiquated, surly govt owned airline.",,Couple Leisure,Economy Class,Kuala Lumpur to Tashkent,August 2019,5.0,1.0,1.0,4.0,1.0,,2.0,no
21558,Uzbekistan Airways,1,"""Worst airline ever""",6th July 2019,False,"  Worst airline ever. We traveled by this from St Petersburg to Tashkent. That flight was good but the flight from Tashkent to Delhi number 421 was very old, no screens on seats, no pillows only child and women got pillows, no blankets for all, no wine or whisky, not enough flight attendants. Worst ever experience.",,Family Leisure,Economy Class,St Petersburg to  Delhi via Tashkent,July 2019,1.0,1.0,1.0,1.0,1.0,,1.0,no
21559,Uzbekistan Airways,8,"""Crew very attentive""",5th July 2019,True,"  Paris to Tashkent. Check in counters are located in CDG 2A terminal very quiet in the afternoon. Business tickets allow us to make a stop in the glamorous Cathay Pacific lounge : Champagne. And again Champagne as a welcome drink (Uzbek cuvée on the return ), warm nuts as an aperitif. Full dinner service, three choice). Light breakfast served before landing. Seats are 2-1-2, comfortable, amenities in a nice travel kit, IPad provided. Crew very attentive during all the flight, same for the return from Tashkent.",Boeing 767,Solo Leisure,Business Class,Paris to Tashkent,April 2019,4.0,5.0,4.0,4.0,3.0,,4.0,yes
21560,Uzbekistan Airways,7,"""exceeded my expectations""",22nd May 2019,True,"  Moscow to Tashkent. I did not expect much from this airline, however I was pleasantly surprised. The aircraft seemed to be new and the interior was very clean. The boarding started on time, well organized. Both flights departed and arrived on time. I paid a little extra for the exit seat and got a huge space for legs, etc. The personnel on board was average but meals were excellent and abundant, the in-flight entertainment system worked well (funny English dubbing by a Russian speaker, one voice for all actors in movies). The overall experience is naturally not comparable to companies like Qatar or Emirates but nobody expected that quality either. All in all this airline exceeded my expectations and can recommend it to other passengers.",,Couple Leisure,Economy Class,Moscow to Tashkent,May 2019,5.0,3.0,5.0,3.0,4.0,,5.0,yes
21561,Uzbekistan Airways,1,"""crew were not friendly""",7th May 2019,True," Tashkent to Kuala Lumpur. The worst airline taken in all of my holidays. A week before we departed Singapore they sent an email to inform that flights home to Singapore are cancelled. We wrote in 3 times with no reply, called the Singapore office and the guy was impossibly unhelpful. We had no choice but to make our trip blindly and hope for it to get settled over in Tashkent. Our flight departing Singapore was delayed by an hour plus, and transit in KL, it was again delayed another hour. It happened the same for our flights home whereby new transit was in Jakarta, it got delayed an hour an half. We barely made it to catch our flight home with MH that the airline booked us home on. My luggage was left behind because of this. Flight crew were not friendly, barely smiled no matter how polite we tried to be. And they never once served water after the meal service. We had to keep going to ask for it and they always gave an unhappy look. Seriously, I don't know what kind of service industry this airline is in, because there wasn't any at all. The food from Singapore was okay, but the food from Tashkent was awful. Tasteless and dry. Our flight home was a night flight, yet the lights were not switched off for sleeping. It was a really suffering 18 hours journey home, with no food and no sleep and with unconfortable seats. Such a pity because the country is so beautiful and the Uzbeks are really nice people. The airline crew need to undergo intensive service training for sure.",,Couple Leisure,Economy Class,Tashkent to Kuala Lumpur,May 2019,2.0,1.0,1.0,3.0,2.0,,2.0,no
